
Course Index,SWEBOK Areas,SWEBOK Scores
38,Construction; Professional Practice/Ethics; Design; Quality; Testing,"{""Construction"": 0.75, ""Professional Practice/Ethics"": 0.75, ""Design"": 0.25, ""Quality"": 0.25, ""Testing"": 0.25}"
39,Construction; Models & Methods; Testing; Quality; Professional Practice/Ethics,"{""Construction"": 0.6666666666666666, ""Models & Methods"": 0.3333333333333333, ""Testing"": 0.16666666666666666, ""Quality"": 0.3333333333333333, ""Professional Practice/Ethics"": 0.3333333333333333}"
40,Construction; Design,"{""Construction"": 1.0, ""Design"": 0.3333333333333333}"
41,Construction; Design,"{""Construction"": 1.0, ""Design"": 0.3333333333333333}"
42,Construction; Engineering Management; Professional Practice/Ethics,"{""Construction"": 0.75, ""Engineering Management"": 0.25, ""Professional Practice/Ethics"": 0.25}"
43,Construction; Models & Methods; Design; Testing; Foundations,"{""Construction"": 0.5, ""Models & Methods"": 0.5, ""Design"": 0.16666666666666666, ""Testing"": 0.16666666666666666, ""Foundations"": 0.16666666666666666}"
44,Construction; Models & Methods; Requirements; Design,"{""Construction"": 0.6, ""Models & Methods"": 0.4, ""Requirements"": 0.2, ""Design"": 0.2}"
45,Construction; Requirements; Models & Methods; Quality; Professional Practice/Ethics; Foundations,"{""Construction"": 0.5, ""Requirements"": 0.125, ""Models & Methods"": 0.5, ""Quality"": 0.125, ""Professional Practice/Ethics"": 0.125, ""Foundations"": 0.125}"
46,Construction; Design; Foundations,"{""Construction"": 0.3333333333333333, ""Design"": 0.3333333333333333, ""Foundations"": 0.3333333333333333}"
47,Design; Construction; Models & Methods; Professional Practice/Ethics; Engineering Management; Quality,"{""Design"": 0.3333333333333333, ""Construction"": 0.6666666666666666, ""Models & Methods"": 0.16666666666666666, ""Professional Practice/Ethics"": 0.3333333333333333, ""Engineering Management"": 0.16666666666666666, ""Quality"": 0.16666666666666666}"
48,Foundations; Construction,"{""Foundations"": 0.5, ""Construction"": 0.25}"
49,Design; Foundations; Construction,"{""Design"": 0.3333333333333333, ""Foundations"": 0.3333333333333333, ""Construction"": 0.3333333333333333}"
50,Construction; Design; Foundations,"{""Construction"": 0.6666666666666666, ""Design"": 0.3333333333333333, ""Foundations"": 0.3333333333333333}"
51,Construction,"{""Construction"": 0.5}"
52,Design; Construction; Testing,"{""Design"": 0.5, ""Construction"": 0.5, ""Testing"": 0.5}"
53,Construction; Foundations,"{""Construction"": 1.0, ""Foundations"": 0.5}"
54,Construction; Design; Requirements,"{""Construction"": 1.0, ""Design"": 0.6666666666666666, ""Requirements"": 0.3333333333333333}"
55,Construction; Requirements; Design; Process,"{""Construction"": 0.5, ""Requirements"": 0.25, ""Design"": 0.5, ""Process"": 0.25}"
